Name,Cost,Attachments,URL,Calibers,WeightInOz,Demo,Type,Kind,Notes,Combo,Combo Cost,Builds,Requests,Donations,Created By,Created,Last Modified By,Last Modified,ProductCode,Id,Roles
MC21 MAGAZINE CLIP BASE SETS x 2 FOR THE GLOCK 21 - MC21 MAGAZINE CLIP BASE SETS x 2 FOR THE GLOCK 21,$17.50,Social media image from recovertactical.com on 2023-07-21 at 10.44.37 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/4YXRNrpkX71h979iIfUp3Q/1qoxKfNbernZ9LBTCGngAkQZPl_2H1rDrNC4-KmzwXzPqijGLgTnHlMg9EjKPypEodd1nrcrYu5u1WnOCCIbCyHflFQupLj5cXbAw-486ShecprhqpzrcMHiG_foN86n-EOdMkR5F3bQr3oR_ayzF5hTsjmFCBm6zCgEvzit0aA/PZLLKkbjTpw9O4Ciu6E06Q3xMUtDU_-q4NXUpgmXtsE),https://recovertactical.com/product/mc21-magazine-clip-base-sets-x-2-for-the-glock-21/,10mm,,,,,,,$0.00,Glock Mobster (Nick's - Banish variant),,,Nicholas Preston,7/21/2023 10:45pm,Nicholas Preston,7/21/2023 10:45pm,,995,
"Lower Parts Kit For Glock 20 21 Polymer80 Gen 3 , Cerakote or TiN, gold coated, without trigger to finish or rebuild your Glock 17,19Gen 1-3. Kit includes extended controls for easier manipulation of the firearm along with your choice of finish.",$114.95,Social media image from www.gotosportsgear.com on 2023-07-21 at 10.30.29 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/WbR656_6c7pFzI_sD4NKGg/BGJTOF80JnnTlBErRD-1pIDvRtWafEiMJhjOmUWwRbsIk9FreR8BWea_njzwemdJ1aPjAWyvOPMRqj_iiAIO1hNwZsXBTXxZRPuOhMETiYryv1TQ6ilQv5T0k1KY8U7NwqT7yaxRV3x1f2vOiRXSLGQAYl2uJGW5mwZ0uXcicm4/iBAQgk7YoCAtU5aA9Bf1fwEegszcySkyB6smRaMadm4),https://www.gotosportsgear.com/Lower-Parts-Kit-For-Glock-20-21-Polymer80-Cerakote-p/gtg-lpk-g2021-vari-polymer-80.htm,10mm,,,,,,,$0.00,,,,Nicholas Preston,7/21/2023 10:30pm,Nicholas Preston,7/21/2023 10:30pm,,994,
"Lower Parts Kit For Glock 20 21 Polymer80 Gen 3 , Cerakote or TiN, gold coated, without trigger to finish or rebuild your Glock 17,19Gen 1-3. Kit includes extended controls for easier manipulation of the firearm along with your choice of finish.",,Social media image from www.gotosportsgear.com on 2023-07-21 at 10.18.00 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/HPNpYdmdlciN5itV1tJVrg/ctV-3kDTcjiv-ZHL-tAqJ87mqw3-p3xbmm8HnoW6K1sr5mtokgrjEzXcL1wotv-cygyjvbsiOSnkhxcb8tDKeWP71V0GFZ1zA-BUwCPwrct9fJMxDszgzUtNGQFdmjgRH4IgFvNBQNFZZ8WnjLG5h4Ug8j9y6P0bap2bR9J-fGQ/_fNrHbknOB2c9U09tklm0KGhLl3WW7_qiLkrTsWTvF4),https://www.gotosportsgear.com/Lower-Parts-Kit-For-Glock-20-21-Polymer80-Cerakote-p/gtg-lpk-g2021-vari-polymer-80.htm,,,,,,,,$0.00,,,,Nicholas Preston,7/21/2023 10:18pm,Nicholas Preston,7/21/2023 10:18pm,,993,
.50 Cal Glock Conversion Upper - Gen 3 | Best Glock Accessories | GlockStore.com,$795.00,Image from www.glockstore.com on 2023-07-14 at 10.20.37 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/j0E1MYFI3aBN3t9aZkq1wQ/AqOqE24HaoDqviYztjvjVEQYuSUhA6iBrUTfF58GIl51YOv9fwrS4dmPsBnQ0WLdmZca2SiPvSpTQ6vJVB93Wnw9rr3lQzx6mGmDPiML0Yb9lOzrVF51E0r22u6TnwMvz1RB-qLAZHKir7mGrjhGEg/auILpju4xtTVsqcyHKBv0DktD2jkdj77def4CzQUMi4),https://www.glockstore.com/50-Cal-Glock-Conversion-Upper?quantity=1&custcol7=52,,,,,,,,$0.00,,,,Nicholas Preston,7/14/2023 10:20pm,Nicholas Preston,7/14/2023 10:20pm,,992,
FNS - Lower Parts Kit,$59.99,Social media image from jsdsupply.com on 2023-07-12 at 9.54.37 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/kvoCcpArvDUSQbY1LeZcew/ur0ekhmq8EY20tGLeEQvsE2bhtZdm3jbpKRp9wsfetCqWejyMC1Txx8_tlFMvIz-b3oBmv4oYw4icIp4Ax7OgqToAnmKjPRn0y9MeSthe9X-oVtFBP9_SGJiudrw0UzAqP8DQzIzjkpZ19-1NDtNl-QKGIcF6s8Qj8q2sgOXO7o/m1Uf3n-tsooB6OJ82P5eAf4q6A1OCbYx1Bf6cfn_X-Y),https://jsdsupply.com/shop/fns-lower-parts-kit/,,,,,,,,$0.00,,,,Nicholas Preston,7/12/2023 9:54pm,Nicholas Preston,7/12/2023 9:54pm,,991,
Surefire AR-15 .223 / 5.56 100-Round Magazine,$179.99,Social media image from gunmagwarehouse.com on 2023-07-11 at 12.11.22 AM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/4Px1quDdo8dVz1YUAFZb-Q/CiD3Ehox_F1iDz3-ZD7HDprgC156TWM0V1kyupVgMI39bbeD1ZrZhqhlPGXQhOsK0VQvVE35Gn02_3Cd5wcBK2R36npoSBLWrmPB28zAnC_o96Uxjpdjp5jPRbk8eRySKb-OEaGzRM3g0kfW2ai62-OO3g_Cyy7cI55k8qZ3XaQ/Jwb90zL7LPHbG_DCLw8f6ytx6isEvzPoWDI-zNg3gFc),https://gunmagwarehouse.com/surefire-ar-15-223-5-56-100-round-magazine.html,5.56 NATO,,,,,,,$0.00,,,,Nicholas Preston,7/11/2023 12:11am,Nicholas Preston,7/11/2023 12:11am,,990,
ANVL UKON V2 Rifle Mount | 10% Off 5 Star Rating w/ Free S&H,,Social media image from www.opticsplanet.com on 2023-07-07 at 8.52.38 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/f_b_Ww2xGCExhgDkip17Yw/be20sdB2B2gVDL68A2RBsorBvei7DGx7QLlr3Y5TiRC5cR5ODzDJ1GqhT2cwmd5tqy5iLJa3WjFsoeXZlS4pzijmbU-5wpkgSRNQyPfJuGnpucWKf_kwk_S6McO4gzZZpkRSOEjCRA7tuRge4XdHzLJbCbVewCw04fVmONKocBE/Pqinyj0OC6F6X5Wyh1IIYB2uunYmxDR5CuyvttiVIUA),https://www.opticsplanet.com/anr-design-anvl-ukon-red-dot-sight-mount.html,,,,,,,,$0.00,,,,Nicholas Preston,7/7/2023 8:52pm,Nicholas Preston,7/7/2023 8:52pm,,989,
Maxim Defense Industries CQB Stock Gen 7 for AR-15 | Up to 14% Off 5 Star Rating w/ Free Shipping and Handling,$350.00,Social media image from www.opticsplanet.com on 2023-07-07 at 8.24.19 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/ryjTz3u1H3lWfB-FMgFK8Q/e3bXu5FvEt4ZpoyTiWevJ9_LwLQPWZInQNxxXN-ezQyquHwzMSwEFGl6xxU1dguG8ZSy0_tKf-YvESxSE7n9F6dmgtSt_hmiFsRsrYq_g4OBdJuaZxKOYMqXcnNihknCGOeWtHfoPp6R39eFjkNLczc8J8lFyLdqSlmCGqZcDVM/b5zhZ6Ptd9QO5qRwcDpkBLvRq7bUInn5LAQnK2DJVPA),https://www.opticsplanet.com/maxim-defense-industries-cqb-stock-gen-7-for-ar-15.html,,,,,,,,$0.00,,,,Nicholas Preston,7/7/2023 8:24pm,Nicholas Preston,7/7/2023 8:24pm,,988,
6mm ARC Complete Upper | Shop Now,$949.00,Social media image from www.odinworks.com on 2023-07-07 at 8.13.28 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/ybh4FKCZVvi0KBbsEwemjA/mxqaZGvOgCWTwCcdvi5KNBMESqtFzTaugRH_SCBW3yKQvKaCclUimM0_YLwl0yqZmEyLLhlHP7IqEX0UBFEAhiUgcIGSJ-hrki6WQ_iytVnyVW91E5FI64WmRTgzeSQqYt8uPnAd-4Jspa75VR4qV34irNudesMkTYU2ouZCCQ8/bp-ARKudiH0SyoAEtnPAzsaRvhumRfW7cdev9ZhYDB8),https://www.odinworks.com/6mm-ARC-Complete-Upper-p/cu-6mm-arc.htm?1=1&CartID=0,6mm ARC,,,,,weight?,,$0.00,,,,Nicholas Preston,7/7/2023 8:13pm,Nicholas Preston,7/7/2023 8:13pm,,987,
".750"" Adjustable Piston System - Mid Length - Clamp On - Melonited - L – Superlative Arms LLC.",$289.00,Social media image from suparms.com on 2023-07-07 at 6.25.39 PM.jpeg (https://v5.airtableusercontent.com/v1/19/19/1690689600000/B9LcHZ78oiStzCUhDXxBDg/EzDFFgxWr8Mu5qCHvMoNR4e3qMW1nxZoy_jRp2Yi3YD9442Y97APFe6IYL0xrcgX2PNlcWPY7HTILOMtQw2U6CwCdELXC2z3Xn3WnKi0tSqzMgAuESvoglvze9FXyX9tA6k25dkf5C57nc0G0lfs4ljeatjWo8bjsgGBZDRdSR8/hSipv5t9g2PYd42XQS_3p_y5b-ChYdUhAmXT6k8FB-8),https://suparms.com/products/750-adjustable-piston-system-mid-length-clamp-on-melonited-low-pro-ar15,,,,,,,,$0.00,,,,Nicholas Preston,7/7/2023 6:25pm,Nicholas Preston,7/7/2023 6:25pm,,986,
