Name,Caliber,Image,Grain,MuzzleVelocity,MBPR-Torso,Force,Wound,BallisticCoefficient,Diameter,Found,Price_Per_Round,GelTest,Notes,Manufacturers,Zeroes
300BLK - Lehigh 115gr Controlled Chaos-703003-1,300 Blackout,Social media image from saltriverimports.com on 2023-07-05 at 3.21.17 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/b4fZCl0jLYVnJjD7QSvffw/ipmfBoSANMQw27HWJAG_zAiAaPqXKFbfOBQu6AgUVsZnEhWbDiisnQAHD3Dr1ILB3LT6u6O4ll5981WOULgkwx_yEvXlowGmufvROCZPcuCWgNTrbZfncLWluwD4RV7WwHnBN_LYotxUjQtyvzfijRgCI_vAFFOkIr5X5QsKsVxabFu8PDHtIMyEADuXBbCBuK4kSbplS4Eeq6qr2RP1Gg/Cvncl3iKZZBgiEu5J9zatC1--C3tssG-4zDD7G07BoI),115.0,2425.0,341.0,1501.37,#ERROR!,0.284,,https://saltriverimports.com/300BLK--Lehigh-115gr-Controlled-Chaos_p_69.html?view_adult=true,$1.100,,,,67
Controlled Chaos 300 Blackout,300 Blackout,,115.0,2360.0,333.0,1421.96,470.01,0.284,0.3080,https://www.midwayusa.com/product/1025554815,$2.670,https://youtu.be/JrEmQNe-TrA?t=438,,Underwood Ammo,34
Underwood Ammo 300 BLK (Generic Grey Box),300 Blackout,,115.0,2360.0,,1421.96,#ERROR!,-1.000,,,,,https://ammo.com/ballistics/300-blackout-ballistics,Underwood Ammo,
Barnes Vor-Tx 300 AAC Blackout 110gr TAC-TX - Spotted Dog Sporting Goods,300 Blackout,Social media image from www.spotteddogsportinggoods.com on 2022-11-25 at 7.40.44 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/_RVAoOHt-27eLwpH5F_BSw/eMIR6AH83_fWwBKbUs39Tr4JXzuejY8xJ3WfNYXnS3lSH-CVflrghAW2QSsd0Vz0K-vXG1X5i1MjdfIZCOISj_VAC_dYJ99Yu3C0YE5yDmDTOkHZ3gStR5S5gtYFgxLimtsKScZhw9-whq0FmMt7Ci1-yJXF_U_PH38M8cLn8mdxWBf2nP7DR3kddourx-NxSkfbrtdaCL_pT146IzlDfzRVoIDpvlEu7a38CYzsXUo/lL1c4KwN1ouh6pwNvh3uauCvk0BFZS9SZDTW9LT8zmY),110.0,2350.0,329.0,1348.63,#ERROR!,0.300,,https://www.spotteddogsportinggoods.com/barnes-vor-tx-300-aac-110-grain-tac-tx.html,$2.000,,super,,20
Barnes VOR-TX Ammo 300 AAC Blackout 110 Grain TAC-TX Polymer Tipped,300 Blackout,Social media image from www.midwayusa.com on 2022-12-09 at 7.11.09 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/uIqrB5QeMbBG-QRRM5YWYQ/5t-cO82i4Fs6Qpba2Iq4jS2ij0gsl53QJN9YPcf-Aa642iwETbxGZ1bghPCLZQEOvn2_UhaWoeOKCi7wxvQIZYMkFbqB7yhB5MgST1UWRky4YYzHBjOpAlzo5WkBJdRac4zW9QHI5u_kjHahX1j2moyEMO5byJhdOq5B2CJ0w8IV0X5FIhkePYdjOMh-HpS566ik8opMShV-2OVOc32zBA/X5Yp2Vk8KZ-xqGHDEwS-QzW4S5gCIiDUeJ9DxPcX01o),110.0,2350.0,328.0,1348.63,#ERROR!,0.295,,https://www.midwayusa.com/product/1001895644,$1.500,,,Barnes,44
Barnes Vor-Tx .300 AAC Blackout 110gr TAC-TX FB Rifle Cartridges - 20 Rounds | Free Shipping over $49!,300 Blackout,,110.0,2350.0,326.0,1348.63,#ERROR!,0.289,,https://www.opticsplanet.com/barnes-vor-tx-300-aac-blackout-110gr-tac-tx-fb-rifle-cartridges-20-rounds.html,$1.710,,,Barnes,12
"Gorilla Ammunition .300 BlackOut 115gr, Controlled Chaos, Pig Punisher - 20 Round Box | Gorilla Ammunition",300 Blackout,Social media image from www.gorillaammo.com on 2023-04-26 at 12.50.49 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/AMOjChzrXv2A_nL412nnug/E5a8DZd4kgAJ_ecIa9D_6Y_vv_C2iQGsVj2mrah-x31FQVXyo8W6aLHm26KgFvCQLaxLhX_tjrMGLR2TJQWt2OmTVT-eaoXsXGH52Wq8WBoM1WJCSOcOYzmBNV8DMCrTe79P44S5-_a_TXpKcormO8pDvnAIrAstWILTIif0U4CvhlVVwuRC5UXnDu-ggpZYl9e72pYQJnlBwwPhCZbMZw/VtD_bRvabkS8QfqpfK0MZOnz3JiSPbK19efZ1ZhRwA4),115.0,2310.0,327.0,1362.35,#ERROR!,0.284,,https://www.gorillaammo.com/product/gorilla-300-blk-115gr-controlled-chaos-pig-punisher/,$1.940,,https://lehighdefense.com/308-diameter-115-grain-controlled-chaos-bullets-50-count.html,,61
Sellier & Bellot .300 Blackout SB300BLKA FMJ 124GR 20 Rounds,300 Blackout,Social media image from www.finfeatherfur.com on 2022-11-26 at 12.21.35 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/wOYVr0Fnrr9BMW_yQrR17w/dJqWA6byacqCZ6wIu4s54jfkYMYeZpRtruqLNCu3EO4HVHlEYvIdQ9VwTbek-mnNofqpNBdxJuJVrnYyuiZJ0COPeF3dwNiIEpoR69exKjpCbcIH3ZIEbBJbdpmIHeSY0V9fcMXnzfjtbNjRe94JiG9k5lBnz5XEYt5P6G6AeYD0j8YjNs0RqYJT8fbJ8i8ECrWSnoA9VkD-hFu368EnH-C9LtcJ85MBxfe_UayjRcE/-cX7z3qGR-IbbDqaunTKLKNbM1ck4_mcRQzH5AoIs98),124.0,2165.0,304.0,1290.34,#ERROR!,0.292,,https://www.sgammo.com/product/300-aac-blackout-ammo/20-round-box-300-aac-blackout-124-grain-fmj-ammo-sellier-bellot-sb300b,$0.890,,,,41
.300 Blackout 115 Chaos HPBT SUPER SONIC – Grind Hard Ammo®,300 Blackout,Social media image from grindhardammo.com on 2023-04-05 at 5.35.57 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/r-wU0rFB7X4mLjPBaDXNNQ/2Gi4x4TpnOH1n_iKzkEmYtuT35o1MDJwPzpQbsrjoVemiM_8fqdGI9PEc8FgAOYcpkF0vV1FkCmMbgYWsHQ0jwiVwggxsJsaSoN3WP3OgKKDm0E3xI4kkd9RVfSrou8GC68QfSeO8P-yz7Mx1W-rw9vANUGoDSnxKhfbdHfGoB3qqFNutl5kPBunSJQcwvtnfbfa6Pa3qWp41xHz_2taEA/Histv3Z89-j3gAMooWQX5f_3nTNuLdyedrD4R5CtAvg),115.0,2150.0,,1180.16,#ERROR!,,,https://grindhardammo.com/collections/frontpage/products/300-blk-115-chaos-hpbt?variant=42269895196821,,,,,
.300 Blackout 115 Chaos HPBT SUPER SONIC – Grind Hard Ammo®,300 Blackout,Social media image from grindhardammo.com on 2023-04-05 at 5.45.31 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/dJtLGOIiXeY7ukzfXwzjvA/lhBiSjhvlAkDD-_718iUTImnzq6loqj5q-_WFYiijKqktSEj5zK9ztCfVjY94r9fbwqAsENtXLlWOcgdo7s3FSl3amZBFdcPoGX5GmqYgem_IWrS7IUindQmOk3tbVxyC2VBkzky260lB_wQDsjRtg6MpkoDbdS3Q096mmr1b2n9potBjXOvOmgfVZXy4Imhu6CHfHwQJpkpDW8IdjxzHg/2pZ6ofXgwIs4KV_FHsQfqNxY7wiKjcXablyz1UO-jHc),115.0,2150.0,,1180.16,#ERROR!,,,https://grindhardammo.com/collections/frontpage/products/300-blk-115-chaos-hpbt?variant=42269895196821,,,,,
Barnes Vor-Tx .300 AAC Blackout 120gr - 20 Rounds,300 Blackout,,120.0,2100.0,322.0,1174.86,#ERROR!,0.443,,https://ammoseek.com/ammo/300aac-blackout/-rifle-120grains?ikw=Barnes,$1.470,,,,13
Barnes 300 AAC Blackout 120gr JHP,300 Blackout,Social media image from www.spotteddogsportinggoods.com on 2022-11-25 at 7.38.49 PM.png (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/lZaUqwXX63rZf4GX99VILA/haR_7aVH1priBAHRomeHcTxSHycnUlu6v30UF5CiUuSlTX1HHWKRCdI_-Cl9jAgi9FaOm0Va7yya0lpoyEkoyQV2M2TTINKKm5qryGlSiif8epI77XsFIui_dprSNcJGgOL5SIiWaq09m1jVvlUaAeYeruLDl8iW3Xe5TpDoq1j6Y4CK7Rydg9bjXVbQRG3Tj6jlQ8IP85RVgGB4Un7zQw1Bwez_XIiTlJVMne594BM/bHvzI35MXLkar96c4qF6sS-4IFrwgHogR_SZ64A058k),120.0,2100.0,303.0,1174.86,#ERROR!,0.297,,https://www.spotteddogsportinggoods.com/barnes-300-black-120gr-jhp-fb.html,$1.250,,subs,Barnes,19
Buy Power-Shok Rifle for USD 34.99 | Federal Ammunition,300 Blackout,"Social media image from www.federalpremium.com on 2023-04-26 at 12.55.54 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/hAMCsJ38TtO6EfeX32XtDQ/A6cy6ZMtF40z2UbiKZpnrAi7bVFxs5rGddxV88LgtVL0jWpQsspHkAumTNacjMjnbKHWBh1GrAXAl67LRkJm7keQfV6KS5X9O1370YxyiXQoQOpqq1lykw3NWf_7Xa2D9Vlo2-_cyfooN3ZLu8Wv8G3CHC8xdV8q-R_bJsEkWHUTGLlZ8ydGY8_l5r9jLT9hPwmrhkCl05eWn4E8GlNpQ13UiFupZo4X5zX8FPm4IKs/_hO4QMwmfSKk1Q02r_jUohrubJpoHatCKXLjYa9HqQc),FP_300BLKB_300BLKJSP_Rm.jpg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/I1LSTkgI2J4KAOfVKfzUew/AfzqEDp7rP6aJeiZTZJ7XP3Etb2b5t7uYQUC0QfExYI_4EXxJ_ZjMXTKRDCbnWNCXEljS7xqZ9XMl0r1nLajQESq-8p1CmH9kq2CeQl40sj__B1evOTbZit8wbomxV93gLxINC7kcmi34LNMbjOryoc_fEllsNTksq5cEKLEqLE/TO--zHwT9KiV_-IUUKQq3Om8LCzpoovyvBhsYFo4WtE)",150.0,1900.0,282.0,1202.17,#ERROR!,0.330,,https://www.federalpremium.com/rifle/power-shok/power-shok-rifle/11-300BLKB.html,$1.750,,,,62
300 Blackout 147 gr FMJ New | Freedom Munitions,300 Blackout,Social media image from www.freedommunitions.com on 2023-07-05 at 4.42.23 AM.png (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/ZDw85pCAcnnoaZ7gc41DIg/ivSN4_1IhG7m9kPNV9-tND3RRKZMiRg_JJXCh1E537SCd4QpZk2EsdsOqo-A6K-UTkV4cwC5Svu2YAwjRTg9d-mZ77ilCO53fmYUjx8HhAkwY2DD1D2m7FiWC61liDrMPsI0fL4KeaX7mvNZntJvWRDME9-HWnORIOSa8pFT2PMd7jqxFi_cwuENhQVyKOSY23L2W-rVMoF-lvlfhM4f94D7Q3tNCNH3AAgLm53J3uQ/L6s4oB1Gx49f6yHFScXsO3oyrQPdqY7w-C384nEM8b8),147.0,1800.0,276.0,1057.37,#ERROR!,0.398,,https://www.freedommunitions.com/300-blackout-147-gr-fmj-new.html,$0.515,,,,70
Sellier & Bellot Ammunition - 300 AAC Blackout Subsonic - 200 Grain Full Metal Jacket - 20 Rounds - Brass Case,300 Blackout,Social media image from miwallcorp.com on 2023-01-27 at 8.19.27 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/EL8lM1N2P1qpGgi6FiFntQ/e5EtMrKH--88iACRc63d8WvbJ4BsmJ95y_p9hpGzVbLv418-Mc-ghsb5NbdVNJoO69bbW8IgvrQMKvRllITci2S2rdVPsfxyOEEg1iFpX0ufL4BIBMAo0Cew2PoJ3TzV3W2KTChkDs-7yvUCrOhppRCyB35ZDsYLpeXiV72Uk6nNAIoy__1x4cHGMMkMB2P7vhCStCBUxna-QLyEipHRTg/qFECwHN4amTgV1hsqkmHtxMaRVxMj0VgeibJJEPTWss),200.0,1060.0,180.0,498.89,#ERROR!,0.558,,https://miwallcorp.com/sellier-bellot-ammunition---300-aac-blackout-subsonic---200-grain-full-metal-jacket---20-rounds---brass-case/,$0.800,,"This might be the right one : https://www.sellierbellot.us/products/rifle-ammunition/rifle-ammunition-fmj/detail/492/
",,55
Sellier & Bellot .300 Blackout Ammunition 20 Rounds Subsonic FMJ 200 Grains SB300BLKSUBA | Cheaper Than Dirt,300 Blackout,Social media image from www.cheaperthandirt.com on 2023-02-01 at 2.23.23 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/9_aVChvpP2qAXEMBoBTzDw/EnlJC8FHknO5l9AH6HKakcBXFDthuDJMAa6Bh4xxEnJEaOfPsph-w46yCdB8adtIUpK5k-PY0BMBHteaMgW_qd-eLObGE2gihtpZ-PLiPz8u6q4VxE2GyCJZ0dSDL5st0-GBlkUhI2xcijCR-Sn0wPtcFQfuWuRLtJbXM7g-1kEFqfx_nrZBSY8YU9y8m3LOByUCsV7zUrlodvSL0wZThI-wbPPhHZsTqMWMe1Z9u50/LUa6w0hH_RROX7F729cwKr_2DM4BcnXRcMAqOTsGneg),200.0,1060.0,,498.89,#ERROR!,0.138,,https://www.cheaperthandirt.com/sellier-and-bellot-.300-blackout-ammunition-20-rounds-subsonic-fmj-200-grains-sb300blksuba/2-SB300BLKSUBA.html,,,,Sellier & Bellot,
Controlled Chaos 300 blackout subsonic,300 Blackout,,194.0,1025.0,,452.50,612.33,,0.3000,https://www.midwayusa.com/product/1018747737,,,,Underwood Ammo,
300 Blackout - Wolf Polyformance 145 Grain FMJ,300 Blackout,,145.0,0.0,,0.00,NaN,,0.0000,https://www.velocityammosales.com/products/300-blackout-wolf-145-grain-full-metal-jacket-case,,,"https://www.targetsportsusa.com/wolf-polyformance-300-blackout-ammo-145-gr-fmj-steel-case-300blkfmj1-p-110259.aspx

BC not known yet",Wolf Ammo,
Capital Cartridge .300 Blackout 147GR FMJ - REMAN - 300 Rounds With Free Ammo Can - 2A Warehouse,300 Blackout,Social media image from 2awarehouse.com on 2023-07-05 at 4.32.43 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/ZHLob_T1-1yhC7EZ1r96tQ/3v_JZFC0E33CcEAUlQtn4apushmbye_nrE9Vv3ZiVLm5gDPjOXIRUsMfPAnB3-1_jwbw4EjGG0iTit3lv5e6zrAjHgFeKznm8yH_ok0EiOghUfzQRNdMT35IP6WyGN90mJlK0SHjFKVBrG5hfIYLBBkCsg9WoEhHxg947ohH0jE-XE791bNrl4xGVnKlEGEpr6qon-Cso6HjTn--D2vWfA/x4Q2G_ftNgBeyNWt-3cSzLgUXf3rbc3BwHfvPoNsOrY),147.0,0.0,,0.00,#ERROR!,,,https://2awarehouse.com/capital-cartridge-300-blackout-147gr-fmj-reman-300-rounds-with-free-ammo-can/?utm_source=ammoseek,$0.460,,"Probably crap.  No bullet manufacturer listed, no BC, only velocity.  Ships to Illinois and has caveats for IL cities...",,
.300 AAC Blackout - 1st Round Ammo,300 Blackout,Social media image from 1stroundammo.com on 2023-07-05 at 4.36.52 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/-dYZB0mKAn4t14V_LHWVuA/NsSWRlUqA_6ttmfhAdyn6R-Q1BY32qcy2NMMKcFLXP3O9syT3DO1gLoJPNBAo4_T_cmbye6LXA2mss1FQHdk4W_M-YGOtiW_R6tOAxAP4YsfyevpYvceTWiWMuSTHaUByCSMnFJt9z0urAYOB_Z4tWW6NyiCaIlXglbugHIrxKT4N530JPS1_DqOpqxfXTtBHtimHYi7aN0pcS4jx4qGtg/85VESAEZGP2ct3W-bKYSZx20VRluwaX36b0iTsiO3Sk),220.0,0.0,,0.00,#ERROR!,,,https://1stroundammo.com/product/300-aac-blackout/?attribute_new-remanufactured=Remanufactured&attribute_round-type=Berry&attribute_grain=147&attribute_round-quantity=500&attribute_caliber=.300+AAC+blackout,,,,,
LAKE CITY: 50 BMG M17 TRACER 643 GR FMJ - 150 AC | American Marksman,.50 BMG,Social media image from www.theamericanmarksman.com on 2023-02-25 at 1.10.27 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/_NRclLmiInsKCkTQ47svzQ/O4VeSkhAt74w-xvLoGg7Hr1BkLMrn-axDzLjZMoRy0qowU3WWxFTdvezv2vimv7t3rxlFKMjRNyEneo243AUNoX4tn1Y3glXJOFWZjBQnwX7d4ookrKYci5el_MyrKHjfD4tbwQxIuHsT2ydHpUul-SVvk-PeDdz_JlcRwk2woctGKh5-KH06Yb0VmGLTagMugSxKYsch2PijkJzm3TWPBO45R08gMbKmITF3Cv8eK4/TdEby3jW6bu-fiBa9IOfiKmDwkLcGEGZ6O3IpXwVLGQ),643.0,2940.0,465.0,12338.76,#ERROR!,0.707,,https://ammoseek.com/ammo/50bmg/-rifle-660grains,$2.890,,,,59
.50 Cal API Ammo - .50 BMG,.50 BMG,Social media image from xproducts.com on 2021-12-04 at 11.16.47 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/Ha1c1ZX6YDRcZ_qn8_WZhQ/QHRicuhTdF_V_l2fdIvBAbzbTWrXpqqB7hurgv_dpJMJsa69Y1uS_uo2OySLnCJ3E_NAVYEpIiks5eC2E0BGyxCc4tx0Bl0ixt-_nPnjX3RH6o2nJZcsbLxvBUe0_v62eA3TOHJeNxBTCgxJ_bUmBUhGkdM_XTGZXUqZN2XJ3eilNcigFIHh64gUXzCOQEbDDWPECBQp9wSyAle2QsxMyg/YHEpE90HyRQ4R8k3HG90OH_EHP7uqoOfFLCkTX5zw58),0.0,1.0,,0.00,#ERROR!,,,https://www.theamericanmarksman.com/lake-city--50-cal-m17-tracer-643-gr-fmj--150-ac.html,,,"Armor Piercing Incendiary ammunition for your .50 BMG, Barrett or bolt action. Shipping included (Excluding Alaska and Hawaii). This ammunition is hand loaded on new Swedish brass and measured to exact military specifications, each component is gauged before leaving our facility. Every round is loaded with the following specifications for use in both belt fed machineguns, semi-automatic, and bolt action rifles. Each can of 50 cal is 150 rounds.",,
Civil Defense 10MM (Blemished) | Liberty Ammunition,10mm,Social media image from libertyammo.com on 2023-01-20 at 8.07.45 PM.png (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/kpBnWqnLJB6mpNMmUNvLVA/zqw1NVZ-cUzIDOf8QxJs3CUaM4JlZV8cR0s355e_CVUR0RMF1GicN9JRcL4HKq-NDAPbDlcd3aRVh-yIMoiYjwJfBnm1l7V4DZMiuE-k3E7MMGv7R1mTzQ6i8TtG4cNrW2cq4Z4_1QLt3_FD2IKiZGUeBSTxARQO-GcIKBvvOYl8D5QX4pqO1BNS4uvfhDTEVECdoTAclEB_IibkK-W73A/26PbyT4urh8VMB_YZXPuIfNbgk5-tPKW8QjSDGkKca0),60.0,2400.0,,767.25,#ERROR!,,,https://libertyammo.com/product/civil-defense-10mm-blemished/,,,,,72
10mm Auto Jacketed Hollow-Point (JHP) Ammo for Sale by Buffalo Bore - 20 Rounds,10mm,Social media image from www.ammunitiontogo.com on 2022-11-26 at 12.12.31 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/kOYEmMLQK2SxxJY6iZrlyg/tMc1SfdiGB3O2jAjUvETJpjz-LbPTeC0K0NEirfYTCMgm_sLLZTIfB3t6uBg15JSXwSUO2z7COmwClSLMOGQWGqpiLKAJrwXaxdSXWCJfsKduE3VK-heYiP7cApoTehFvJC0Ow48yzScZc0nTE_zbq0iWPh-tU2QGVePafgWuGpf8_EPs5wKAiOjLT4wHH4XBGLiTzZm5_nXjGatsDv-goY1u0T2_WFqLphjM3GGj18/gUy3nLVUb_WJhuV1DWU08acOmLdhjX0Cjsj6k_LQ9Bk),180.0,1311.0,188.0,686.82,379.25,0.143,0.4000,https://www.ammunitiontogo.com/product_info.php/pName/20rds-10mm-buffalo-bore-180gr-jhp-ammo,,,,,47
10mm Fiocchi JHP 180gr,10mm,,180.0,1271.0,188.0,645.55,367.68,0.162,0.4000,https://www.ammunitiontogo.com/product_info.php/pName/500rds-10mm-fiocchi-180gr-fmjtc-ammo,,https://www.youtube.com/watch?v=kaSpoJxrn7o,"https://www.ammunitiontogo.com/lodge/10mm-ballistics/

This is a budget load.
Go for 165-180 gr or higher for decent performance.",,27
10mm Auto Ammo - 20 Rounds of 200 Grain Jacketed Hollow-Point (JHP) by Underwood,10mm,Social media image from www.ammunitiontogo.com on 2022-11-26 at 12.09.58 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/l0w8s-ACfNDGymqkGetUAA/u3Ao_0eSh2bInSH7hTmsVfv3yXQwzjRzUbjIpWuV14cyI92w-JMBssp-OTSPo11cBAqPte_p24mKZKpbHkiAXy4vsXaIScNcCuPEWzdVWBWUs6PmRqNx-tWyZDctUmixBmKr2ZVhPKxbtM9NadtuKiI0BjwbZkiUd8ZJ03DB3ZiSd477jNcsWzfM_3S-roKE0KnkaFggqH-bn8625PuLXZniZyJg9iE5tqejCIvWAUY/x6kO3gB5o9PaGw4SCyXvvB4E6huqKv-m08EK9Jgl4Mc),200.0,1250.0,186.0,693.77,446.43,0.163,0.4000,https://underwoodammo.com/10mm-auto-200gr.-sporting-jacketed-hollow-point-hunting-self-defense-ammo/,$97.300,,,,46
Freedom Munitions 10mm,10mm,,200.0,900.0,,359.65,#ERROR!,,,https://www.freedommunitions.com/10mm-200gr-rnfp-hush-new.html,,,,,
10mm 200 grain Subsonic Silent Harvester – Texas Small Batch Precision Ammunition,10mm,,200.0,,,#ERROR!,#ERROR!,,,https://texassmallbatch.com/product/10mm-200-grain-subsonic-silent-harvester/,,,,,
,10mm,,,,,#ERROR!,#ERROR!,,,,,,,,
"308 Win, 165GR, Elite Hunter Tipped - Blemished",.308,Social media image from www.sigsauer.com on 2023-06-17 at 1.14.45 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/FxcxmH4z9CToZmosfh5aog/wPk9LOAiDR7iyLBNw-_vVP06GKBEyVp2Pq0lL8dFty9gCnZEY3Tt7jdG-mT9Idm4uhsGJJPWBYLTLF_w6s-hcH3Dmw_wq663_GrWN02E-ee3CVpfY-erYlm6xTxLKpSbXytxoVbMj_NYOs908HwtVCmEcjcNG3GIwFQIMH_dhzXujgctq0yANdpgTLBnMHW_xiKW-IpNopCtf8UFPPpUaQ/FtkGgirT6clkF-grWkDSD1pImh83Tft7u_iLA-eV9iM),165.0,2840.0,,2954.52,#ERROR!,0.530,,https://www.sigsauer.com/308-win-165gr-elite-hunter-tipped-blemish.html?utm_campaign=230616_365XMACRO_Kryptek_GunSkins_Sweeps&utm_medium=email&utm_source=Eloqua,,,HIGH speed and BC!,,
Bulk 308 Ammo For Sale - 150 Grain SP Ammunition in Stock by Speer Gold Dot - 500 Rounds,.308,Social media image from www.luckygunner.com on 2022-11-19 at 1.39.52 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/tsSg7z50hAO5wwj5i1hN6A/vDVokLPA-mTEA9ewevo6E7dawKy7kgltv0SkQIZ_4dQpsbLAzCfL9JN4vR0p9Mh6kORjS7eOhRbQD_3ylbZhRUQjtn3ZHrRIiIxsY3BseuluzSneU3hjQ2c0dSiyiluQAdHqxJ3OvtzITOlOcqYy0saNgiLssYwsLL1EID_wy39XFqVyvNGW1G9LSiffpGjdwIvcyzrKpGVvdotTLO-a1A/Q8wT-L_XePJRFgV-AOxd7Dgh0OIVIdbCHGUuWsPYfO4),150.0,2820.0,430.0,2648.23,943.21,0.503,0.3100,https://www.luckygunner.com/308-150-grain-sp-speer-gold-dot-500-rounds,,,https://www.speer.com/bullets/rifle_bullets/gold_dot_rifle_component_bullet/19-308150GDB.html,,36
Prvi Partizan Match 308 Winchester Ammo 155 Grain Hollow Point Boat Tail,.308,,155.0,2789.0,419.0,2676.67,#ERROR!,0.450,,https://www.targetsportsusa.com/prvi-partizan-match-308-winchester-ammo-155-gr-hp-ppm3081-p-59074.aspx,,,,,37
PMC Ammunition Bronze .308 Winchester 147 grain Full Metal Jacket (FMJ) Brass Centerfire,.308,Social media image from www.luckygunner.com on 2022-11-19 at 1.44.35 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/-iLH57nOdglADUtw7DnwqA/GYchpZvsitoVN4Ey54y4KFejgrvF9Nigz_nZ3b5AEWbPeqk_cmAcdepuKh7lhX8S_8dMH8p3rvFR1tQQL4cIrNDcTb0j09mXb8hM0n0yyTRCh6Dq9aT7zRp_Px8QCN0DF98l4Lcb5KVQdhaCnbUEJRVqTVD83WBb_0u2Xjug1_bk3ef7R_-auDEz3oFfECWM5dmSONx4VliwM_qE4aKjcg/WPQyF_Hu5ddg_svI2CRS_Dr7yHG1B3UmTW4pAltbAZQ),147.0,2780.0,402.0,2522.16,#ERROR!,0.398,,"https://www.opticsplanet.com/pmc-ammunition-308-winchester-147-grain-full-metal-jacket.html#:~:text=Features%20of%20PMC%20Ammunition%20308,Ballistic%20Coefficient%3A%200.398",,,"https://www.opticsplanet.com/pmc-ammunition-308-winchester-147-grain-full-metal-jacket.html#:~:text=Features%20of%20PMC%20Ammunition%20308,Ballistic%20Coefficient%3A%200.398",,38
Premium 308 Win Hornady Match Ammo In Stock - 168 gr Hornady BTHP Ammunition For Sale Online - 20 Rounds,.308,Social media image from www.luckygunner.com on 2022-11-19 at 1.34.31 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/yDCaQFQ_VuOsrvTSbzsHaw/4jjiRTIRfaSziaqjf4jbQQAWR3qOb6Vh33UEMvgz0Jg9GWTun5kRW_XReGCLQEXXtaAiDf0gzgGyPKRS__UF0B9r4iP1fc9v-kxcKiv1RJZxBanpcn_OZjc_12HgTLEbPJt3Xs9tV-Rb52d3FPO9aXMCD9y_ZhHxX3KutG-eBX-7z8x4HbzUs48Ty8Sjkc-i7pFTb1mUrINu8g4HFIiNOg/9POnRCKZzadjtZP2AddW2wXoXFM5jzLOcsltBGlTatM),168.0,2700.0,398.0,2718.96,#ERROR!,0.450,,https://www.luckygunner.com/308-168-gr-bthp-hornady-match-20-rounds?utm_source=pewpewtactical,,,,,31
Bulk 308 Win Sierra MatchKing Federal Premium 168 grain hollow point boat tail ammunition - 500 Rounds,.308,Social media image from www.luckygunner.com on 2022-11-19 at 1.38.04 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/AIL_VFe5qlPn-llcLP_YoQ/41r5FK0GRv4mjM1s32qx99ZcJpoZcdEf3RWMYbjaiOMI63neuIpGR4P7dxBL8Wc6__33s2dlYuvcehJvHnTQeqZvHMxKHNA3C2z4mAwTkuSpR2bP39q5VEoYXeGWoWcIvOZYmtMZkI0hVeY_A_KDktyM392HHkIQJOx5JSTJ4JCNs1igRLXVJ2Uk3rFGPesZJ1E3d8ojuwRTueMbD1XLJQ/IQfphdFMnDSXsvLOmPVmvkXXRY_txmlqkX5AmHmysB8),168.0,2650.0,393.0,2619.19,#ERROR!,0.462,,https://www.luckygunner.com/308-win-168-gr-hpbt-sierra-match-king-federal-gold-medal-500-rounds,,,https://www.federalpremium.com/rifle/gold-medal/gold-medal-sierra-matchking/11-GM308M.html,,26
