Name,Cost,Attachments,URL,Calibers,WeightInOz,Demo,Type,Kind,Notes,Combo,Combo Cost,Builds,Requests,Donations,Created By,Created,Last Modified By,Last Modified,ProductCode,Id,Roles
P50 | 5.7mm Semi-Automatic Pistol | 50 Round Capacity | KelTec,$795.00,Social media image from www.keltecweapons.com on 2023-04-07 at 2.45.28 PM.png (https://v5.airtableusercontent.com/v1/18/18/1688306400000/6wOcwJESWToGqcGb1qBsiQ/m1sKdwfWHbgLZ_aTknNM-3vJdk96WgjImTTY0XgO31iQ8l10eLp_LuuycU3aZ7Ynj7kcQ7NAiCeajQPxyzlLn_DOhjBY2MgGC1eG0OZkoK9UyLWE9lyqkoFeCD2ZHMKAHAYl3lcwKOKUEJ4W7E4hA_hssxyU5xSRwYerpHs6zGU/IM-gZ_zFNUSCajGhBW3gpJ4sJnQ72K44c5X0VvNUCGU),https://www.keltecweapons.com/firearm/pistols/p50/#buynow,,,,,,,,$0.00,Gunning in the 90's,,,Nicholas Preston,4/7/2023 2:45pm,Nicholas Preston,6/19/2023 5:12pm,,115,
GunClip™,$40.20,Social media image from www.cryeprecision.com on 2023-04-06 at 8.18.47 PM.png (https://v5.airtableusercontent.com/v1/18/18/1688306400000/ctxibevYKwgD9Sjspap-Ag/NL4yxj91yCxbeOm5gHKmgAyLnjLkv2Iw933Sw1n28f-mwI753c4M17YN0j-VUy-oju7ZvWGNj4FYU8aeEccRGE56ikGk5yjzUupZYK91ggrUEy1ZUHxdvrYDuzIgnZp1ie-D4FTERtJNwoPSCLI7oCCsFPo_3P6XdywGip-zxgM/uUbr4p3vP4Ggm5CNRDdbYv2-PIryMZteYWKFNvI09Gc),https://www.cryeprecision.com/GunClip?quantity=1&size=Glock%25201%2520Right&color=Tan,,,,,,,,$0.00,,,,Nicholas Preston,4/6/2023 8:18pm,Nicholas Preston,4/6/2023 8:18pm,,116,
Legs For Steel Targets | AR500 Auto Resetting Steel Target Leg Kit,$65.95,Social media image from www.rogueshootingtargets.com on 2023-04-06 at 5.35.59 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/3qSaXdF3qFkKhx_ToUScSg/8db3w66Xn8ECa1OyiojvQkdu2cGRn444_P1WRDQZGJNW66uNGCw8YulnMHkH_X43DcEMpQTbv-X_5Xi-4fNGXrTAqtbchpI4iJDfG5s1Cw7xByZUJt9cMmtE28jTdP5GXm51WdjxhRxbbKemrWB5BIleroyU9TjpZWUxb1aKu2iATonBoxT8i5gGmcHkd_Ul/3DePjN8wgre97ZfuIxehZr0V2GFdkRXwyHmW-RLdBf4),https://www.rogueshootingtargets.com/product/leg-kit-for-auto-resetting-steel-targets/,,,,,,,,$0.00,,,,Nicholas Preston,4/6/2023 5:36pm,Nicholas Preston,4/6/2023 5:36pm,,117,
TLR-8® G sub | Rail Mounted Tactical Light with Green Laser | Streamlight®,,Image from www.streamlight.com on 2023-04-06 at 4.13.45 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/1Z3yHZoHSIT9IqJ_QZdpZg/qvipk2nnQl5SzdeV3e2BH5hEQ5MDdbuuL5j6SrB4EsmHyTgm-ZX9W4E7TAM49GSJ_V-X0JeSDV_EFWZ5Ds1imr-mUvUkYwuHa7-fXq06RIQKxqUAPKbiTcct-8D7NPhN01nPep68PZFZ4dhSHoTngA/SXYBUkart3xF8d6W7n3s7EyK4fhVSXzyAFJZ81p6MIg),https://www.streamlight.com/products/detail/tlr-8-g-sub,,,,,,Replacement green laser for Hellcat.,,$0.00,,,,Nicholas Preston,4/6/2023 4:13pm,Nicholas Preston,4/6/2023 4:13pm,,118,
SureFire X400 GN Ultra Flashlight w/ Green Laser | Up To 10% Off,$719.00,Social media image from www.opticsplanet.com on 2023-04-06 at 4.08.29 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/FKtU42c6qFTtBsCO8HaNDg/dBRrIUoso2pXjyLGr9Iuw0_yU210MkgUJ-0tjc35UehQNO85yKb5Q2RVEfyDH0CiqRvuDPci6WnH5OrAPnPsCa0ceSm5O3u4W-nGp8bh9L16fg8z1jAL03VqRSkZyrZeOGW2kVbmEDYfVsOcl7zaf2a-BUN06wBCx0nteYUb06o/C0me-Zs_ujnY5pjEwEvmrK5cyKNSfaFVlWUEVtmIiBk),https://www.opticsplanet.com/surefire-x400-ultra-flashlight-505-nm.html?sscid=41k7_8zfet&utm_source=shareasale&utm_medium=affiliate&utm_campaign=affiliate-1253278,,,,,,,,$0.00,,,,Nicholas Preston,4/6/2023 4:08pm,Nicholas Preston,4/6/2023 4:08pm,,119,
Communications Bundle - Novritsch | USA,,Social media image from us.novritsch.com on 2023-04-05 at 9.48.32 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/oefJW0CA77cvwn1Bcuc_xA/NR44hIDSz-ItPfVAvoDh73aqrGiQIP4HR64H5leZXGMefm2PjvRvQwfiYhEJ6MyXIPT_AjzqJj7UOlN7FLFD_03ssynbeqgJ-yMaYNbr6tSM-zsDIoPe-2BokJ6CtGyfkIzVMXMbxclM_GqUvsejPnPoQL0YdymdVoPDhJkxl6k/HE1ucuWXHgYbvIPam8RZZy9_ImzKF2szgloFhHsC7dw),https://us.novritsch.com/product/communications-bundle/,,,,,Airsoft,,,$0.00,,,,Nicholas Preston,4/5/2023 9:48pm,Nicholas Preston,4/5/2023 9:48pm,,120,
Throw Lever - Mark 6 | Leupold,,Social media image from www.leupold.com on 2023-04-04 at 12.26.48 AM.png (https://v5.airtableusercontent.com/v1/18/18/1688306400000/Bk_IdB6eAAWkTp2y35lHCw/wmI0nzYaMwDF3pFMEPvEMA4wlKyNMzpeLxyo_9ZZSHVjfajm3H2LfumTBNCvl9H26qlbso1YeOV61-9isnwl3FwsrgIRbb636xKMvSP2wQnzcoPYNpZeMaYQRpjxXVKO7hI1twqArYTibgfqgnaG0AWq8__mbHp_ZgpMghFg0HI/Y1lj5avP9Ne6TACIqcEBt5T9uWSXp1FXt25v0yI-W0s),https://www.leupold.com/throw-lever-mark6,,,,,,,,$0.00,,,,Nicholas Preston,4/4/2023 12:26am,Nicholas Preston,4/4/2023 12:26am,Aluminum,121,
Alumina Flip-Back Lens Cover - Large EP | Leupold,,Social media image from www.leupold.com on 2023-04-04 at 12.26.18 AM.png (https://v5.airtableusercontent.com/v1/18/18/1688306400000/LW4II6TIWSHEhgXov7OOfw/rN246zLtH8jPS3J05f3B-OSckQ7QTF1-zFra6Mtjen1QBq7_KdR0j0oH3tRo0mM45RV8qJIP1QJl9HdVVhwvMUyY6PhG_acz4OHJTqZpEDpelWL5p0I_R-AajYguiXrEHD0VxYIkx-LYjJdrGMUAU4zPNOTsgSnJnTt3OS2Y0iM/mNXMVe_PclslOn9y6-XmKauROwFS-s4DzGHrXfOo4ak),https://www.leupold.com/alumina-flip-back-lens-cover-large-ep,,,,,,,,$0.00,,,,Nicholas Preston,4/4/2023 12:26am,Nicholas Preston,4/4/2023 12:26am,Aluminum,122,
NANUK 968 20 UP Pistol Hard Case - Shipping Fast to USA & Canada – NANUK USA,$550.95,Social media image from nanuk.com on 2023-04-03 at 7.52.10 PM.jpeg (https://v5.airtableusercontent.com/v1/18/18/1688306400000/eTWKlEyqAjVEkYGOdJ8xrQ/2343BEEHbTLFRA6s4Vx_oiha8vR9X8e60-vNSpg-XKbMvD41Bm0jKFcGdPd61xFr4VnCnC7Ap3VqnubpVYu4hh4ZzCf2h5a89w8hvPiWPr7B6ZOS8NulgKm58Oa4On5Ru2jJBRrQNTLm2TCUv-hqb_kMOFsynlhM9OST5EQiNQQ/8o6q7e3X0fxc0vGsZPJuD-dfSKn1dyWKNvQGXRjBUjM),https://nanuk.com/collections/gun-cases/products/nanuk-968-20-up-gun-case,,,,,,,,$0.00,,,,Nicholas Preston,4/3/2023 7:52pm,Nicholas Preston,4/3/2023 7:52pm,,123,
AGM RATTLER TS25-256 | AGM Global Vision,"$1,318.00",,https://www.agmglobalvision.com/thermal-imaging/thermal-weapon-sights/agm-rattler-ts25-256,,25.00,,,,AGM RATTLER TS25-256,,$0.00,,,,Nicholas Preston,4/3/2023 5:44pm,Nicholas Preston,4/3/2023 5:44pm,,124,
